LocationTime,LOCATION,INDICATOR,TIME,Value
FIN-2016,FIN,EDUADULT,2016,44.312881
FIN-2017,FIN,EDUADULT,2017,43.799568
FIN-2018,FIN,EDUADULT,2018,43.885674
FIN-2019,FIN,EDUADULT,2019,44.329529
FIN-2020,FIN,EDUADULT,2020,43.336906
FRA-1991,FRA,EDUADULT,1991,49.466606
FRA-1992,FRA,EDUADULT,1992,45.963066
FRA-1994,FRA,EDUADULT,1994,42.228619
FRA-1995,FRA,EDUADULT,1995,40.939255
FRA-1997,FRA,EDUADULT,1997,40.507431
FRA-1998,FRA,EDUADULT,1998,39.278065
FRA-1999,FRA,EDUADULT,1999,38.137104
FRA-2000,FRA,EDUADULT,2000,37.759026
FRA-2001,FRA,EDUADULT,2001,36.132778
FRA-2002,FRA,EDUADULT,2002,35.226971
FRA-2003,FRA,EDUADULT,2003,34.777859
FRA-2004,FRA,EDUADULT,2004,34.187824
FRA-2005,FRA,EDUADULT,2005,33.189934
FRA-2006,FRA,EDUADULT,2006,32.571041
