LocationTime,Suicide_Val_TOT,Alcohol_Val,Edu_Sec_Val,Edu_Try_Val,Emp_Val,Healthy_Spend_Val,Obesity_Val,Smoking_Val,Soc_Spend_Val,Work_Hour_Val
BGR-2010,10.9,9.8,,,,169.4,,,,1644.8
BGR-2011,9.8,9.9,,,,189.4,,,,1643.6
BGR-2012,11.1,10.9,,,,222.7,,,,1644.4
BGR-2013,9.2,10.3,,,,193.9,,,,1645.0
BGR-2014,9.2,10.3,,,,209.8,,,,1644.1
BGR-2015,8.7,10.9,,,,225.8,,,,1644.4
BGR-2016,8.6,11.1,,,,253.8,,,,1643.5
BGR-2017,8.9,10.9,,,,261.9,,,,1643.3
BGR-2018,8.3,11.5,,,,255.6,,,,1644.6
BGR-2019,7.4,11.2,,,,250.0,,,,1645.2
BRA-1990,4.8,5.3,,,,,,,,
BRA-1991,5.1,5.5,,,,,,,,
BRA-1992,4.9,5.3,,,,,,,,
BRA-1993,4.9,4.9,,,,,,,,
BRA-1994,5.1,5.2,,,,,,,,
BRA-1995,5.5,5.9,,,,,,,,
BRA-1996,5.6,6.0,,,,,,,,
BRA-1997,5.5,5.9,,,,,,,,
BRA-1998,5.5,5.7,,,,,,,,
BRA-1999,4.9,5.9,,,,,,,,
BRA-2000,5.1,7.3,,,,31.6,,,,
BRA-2001,5.5,7.2,,,,32.0,,,,
BRA-2002,5.3,7.0,,,,31.3,,,,
BRA-2003,5.2,6.8,,,,30.9,,17.6,,
BRA-2004,5.3,6.7,,,,31.0,,,,
BRA-2005,5.6,6.8,,,,31.5,,,,
BRA-2006,5.4,6.9,,,,30.9,,15.7,,
BRA-2007,5.5,6.9,63.2,9.6,85.8,31.1,,15.6,,
BRA-2008,5.6,6.8,61.2,10.8,86.0,30.4,,14.8,,
BRA-2009,5.6,7.0,59.3,10.9,85.6,30.3,,14.3,,
BRA-2010,5.6,7.2,,,,29.7,,14.1,,
BRA-2011,5.7,7.1,56.7,11.6,85.3,238.0,,13.4,,
BRA-2012,5.9,7.1,55.0,13.0,85.7,251.1,,12.1,,
BRA-2013,5.9,6.9,53.6,13.7,85.1,259.9,,11.3,,
BRA-2014,5.8,6.9,52.6,14.3,85.0,276.3,,10.8,,
BRA-2015,6.1,6.6,51.1,14.8,83.4,263.6,,10.4,,
BRA-2016,6.1,6.4,48.8,16.9,84.0,265.8,,10.2,,
BRA-2017,6.5,6.3,48.0,17.1,82.6,276.0,,10.1,,
BRA-2018,6.5,6.2,46.3,18.4,83.2,287.8,,9.3,,
BRA-2019,6.7,6.1,45.1,18.7,84.0,300.2,,9.8,,
CAN-1990,12.9,8.5,31.0,28.0,84.4,155.1,,28.2,3.4,1797.0
CAN-1991,13.4,8.2,30.0,28.3,83.3,164.0,,25.9,3.7,1775.0
CAN-1992,13.3,7.8,28.7,29.0,82.4,175.0,,,4.1,1772.0
CAN-1993,13.4,7.5,26.7,30.4,82.1,187.7,,,4.3,1769.0
CAN-1994,13.1,7.4,26.2,33.5,81.5,196.9,48.6,25.5,4.3,1778.0
CAN-1995,13.5,7.4,24.9,34.5,82.1,202.7,,,4.4,1775.0
CAN-1996,13.4,7.4,23.6,35.6,81.3,206.9,48.0,24.5,4.6,1790.0
CAN-1997,12.4,7.2,22.2,37.4,81.7,221.8,,,4.8,1798.0
CAN-1998,12.3,7.3,21.3,38.3,82.3,229.0,50.6,23.8,5.1,1794.0
CAN-1999,13.3,7.5,20.4,39.4,82.4,240.6,,,4.9,1793.0
CAN-2000,11.6,7.6,19.3,40.1,82.6,256.1,,,5.0,1787.0
CAN-2001,11.8,7.6,18.0,41.9,81.9,276.0,48.2,22.4,5.2,1774.0
CAN-2002,11.6,7.7,17.3,42.9,81.9,293.7,,,5.4,1755.0
CAN-2003,11.8,7.7,16.3,44.1,82.1,302.8,49.4,18.7,5.3,1745.0
CAN-2004,11.2,7.8,15.7,44.5,82.2,324.4,56.8,,5.4,1755.0
CAN-2005,11.3,8.0,14.8,46.0,82.1,341.7,57.7,17.3,5.5,1745.0
CAN-2006,11.0,8.2,14.5,46.9,82.5,366.4,,,5.5,1744.0
