LocationTime,Suicide_val_TOT,Alcohol_val,Edu_val_BUPPSRY,Edu_val_TRY,Edu_val_UPPSRY,employment_val_TOT_PC_WKGPOP,employment_val_TOT_THND_PER,hSpend_val_COMPULSORY,hSpend_val_OOPEXP,hSpend_val_TOT,hSpend_val_VOLUNTARY,obesity_val,Poverty_Value_0_17,Poverty_Value_18_65,Poverty_Value_66MORE,Poverty_Value_TOT,smoking_val,Value_PRIV_PC_GDP,Value_PUB_PC_GDP,Value_PUB_USD_CAP,Value_PUBNET_PC_GDP,Value_TOTNET_PC_GDP,Social_spt_val
POL-1990,14.5,8.3,29.599914270245048,28.372829334848493,42.53743261508984,66.36212595933918,16354.280432504793,123.364,12.286333333333332,153.47549999999998,12.286333333333332,48.406382978723364,0.13976839826839813,0.10724242424242439,0.13557359307359304,0.11867532467532468,22.146534653465324,2.708838156484459,14.209,1552.816,17.667929487179503,20.15874919614149,87.07542608874712
POL-1991,15.5,8.8,29.599914270245048,28.372829334848493,42.53743261508984,66.36212595933918,16354.280432504793,118.30266666666668,17.423333333333332,153.589,17.423333333333332,48.406382978723364,0.13976839826839813,0.10724242424242439,0.13557359307359304,0.11867532467532468,22.146534653465324,2.708838156484459,20.508,2079.669,17.667929487179503,20.15874919614149,87.07542608874712
POL-1992,16.5,8.3,29.599914270245048,28.372829334848493,42.53743261508984,66.36212595933918,16354.280432504793,121.65066666666668,21.63233333333333,164.925,21.63233333333333,48.406382978723364,0.13976839826839813,0.10724242424242439,0.13557359307359304,0.11867532467532468,22.146534653465324,2.708838156484459,24.068,2497.912,17.667929487179503,20.15874919614149,87.07542608874712
POL-1993,16.1,8.4,29.599914270245048,28.372829334848493,42.53743261508984,66.36212595933918,14894.0,116.22233333333332,35.28966666666667,177.26749999999998,35.28966666666667,48.406382978723364,0.13976839826839813,0.10724242424242439,0.13557359307359304,0.11867532467532468,22.146534653465324,2.708838156484459,23.562,2533.556,17.667929487179503,20.15874919614149,87.07542608874712
POL-1994,15.7,8.3,29.599914270245048,28.372829334848493,42.53743261508984,66.36212595933918,14658.0,114.982,43.43066666666667,187.6195,43.43066666666667,48.406382978723364,0.13976839826839813,0.10724242424242439,0.13557359307359304,0.11867532467532468,22.146534653465324,2.708838156484459,22.487,2543.875,17.667929487179503,20.15874919614149,87.07542608874712
POL-1995,15.5,8.1,26.256752,13.149148,60.594101,66.36212595933918,14791.0,123.14366666666666,44.388,201.2975,44.388,48.406382978723364,0.13976839826839813,0.10724242424242439,0.13557359307359304,0.11867532467532468,22.146534653465324,2.708838156484459,21.832,2640.001,17.667929487179503,20.15874919614149,87.07542608874712
POL-1996,15.2,8.1,29.599914270245048,28.372829334848493,42.53743261508984,66.36212595933918,14968.5,137.833,48.815333333333335,229.9725,48.815333333333335,43.1,0.13976839826839813,0.10724242424242439,0.13557359307359304,0.11867532467532468,31.5,2.708838156484459,22.022,2823.258,17.667929487179503,20.15874919614149,87.07542608874712
POL-1999,15.5,8.3,21.480509,11.2755,67.243988,66.36212595933918,16354.280432504793,158.30133333333333,67.67433333333334,288.9635,67.67433333333334,48.406382978723364,0.13976839826839813,0.10724242424242439,0.13557359307359304,0.11867532467532468,22.146534653465324,2.708838156484459,21.153,3162.001,17.667929487179503,20.15874919614149,87.07542608874712
POL-2000,15.8,8.4,20.119442,11.36204,68.518517,54.975,14525.53,162.88533333333334,73.592,304.716,73.592,48.406382978723364,0.13976839826839813,0.10724242424242439,0.13557359307359304,0.11867532467532468,22.146534653465324,2.708838156484459,20.217,3161.068,17.667929487179503,20.15874919614149,87.07542608874712
POL-2001,15.7,7.8,19.421961,11.885846,68.692192,53.35,14205.6,183.245,74.76700000000001,337.0185,74.76700000000001,48.406382978723364,0.13976839826839813,0.10724242424242439,0.13557359307359304,0.11867532467532468,27.6,2.708838156484459,21.749,3443.372,17.667929487179503,20.15874919614149,87.07542608874712
POL-2002,15.8,8.1,18.766407,12.585118,68.648476,51.475,13781.55,206.65966666666668,77.598,390.068,86.71866666666666,48.406382978723364,0.13976839826839813,0.10724242424242439,0.13557359307359304,0.11867532467532468,22.146534653465324,0.189,21.854,3532.362,17.667929487179503,20.15874919614149,87.07542608874712
POL-2003,15.4,9.1,17.379782,14.17064,68.449577,51.2,13616.22,204.593,81.59666666666668,393.7665,91.19866666666668,48.406382978723364,0.13976839826839813,0.10724242424242439,0.13557359307359304,0.11867532467532468,22.146534653465324,0.194,21.993,3685.169,17.667929487179503,20.15874919614149,87.07542608874712
POL-2004,15.9,9.2,16.07354,15.709586,68.216873,51.65,13793.2,213.014,92.58966666666667,421.6965,101.436,45.3,0.13976839826839813,0.10724242424242439,0.13557359307359304,0.11867532467532468,26.3,0.165,21.248,3744.623,17.667929487179503,20.15874919614149,87.07542608874712
POL-2005,15.8,9.1,14.887128,16.926928,68.185944,52.775,14115.45,215.275,86.97466666666666,420.206,98.17966666666666,48.406382978723364,0.179,0.122,0.044,0.124,22.146534653465324,0.208,20.896,3813.149,17.014,17.222,87.07542608874712
POL-2006,15.1,9.9,14.18797,17.891872,67.920158,54.45,14593.4,232.92433333333332,91.18433333333331,454.6045,103.47866666666668,48.406382978723364,0.154,0.109,0.049,0.11,22.146534653465324,0.212,20.625,3999.176,17.667929487179503,20.15874919614149,87.07542608874712
