LocationTime,Suicide_Val_TOT,Alcohol_Val,Edu_Sec_Val,Edu_Try_Val,Emp_Val,Healthy_Spend_Val,Obesity_Val,Pov_Val,Smoking_Val,Soc_Spend_Val,Soc_Sup_Val,Work_Hour_Val
BRA-2011,5.7,7.1,56.7,11.6,22432.9,238,28.7,0.3,13.4,3.2,85.3,1799.1
BRA-2012,5.9,7.1,55,13,22921.6,251.1,28.4,0.3,12.1,4.1,85.3,1766.7
BRA-2013,5.9,6.9,53.6,13.7,23089.2,259.9,27.2,0.3,11.3,4.3,85.3,1777.6
BRA-2014,5.8,6.9,52.6,14.3,23064,276.3,26.4,0.3,10.8,4.3,85.3,1773.9
BRA-2015,6.1,6.6,51.1,14.8,,263.6,25.3,0.3,10.4,4.4,85.3,1770.8
BRA-2016,6.1,6.4,48.8,16.9,,265.8,,0.3,10.2,4.6,85.3,1766
BRA-2017,6.5,6.3,48,17.1,,276,29.5,0.3,10.1,4.8,85.3,1755.1
BRA-2018,6.5,6.2,46.3,18.4,,287.8,28.7,0.3,9.3,5.1,85.3,1751.3
BRA-2019,6.7,6.1,45.1,18.7,,300.2,28.4,0.3,9.8,4.9,85.3,
CAN-1990,12.9,8.5,31,28,13086.4,155.1,,0.2,28.2,5,,1797
CAN-1991,13.4,8.2,30,28.3,12857.4,164,,0.2,25.9,5.2,,1775
CAN-1992,13.3,7.8,28.7,29,12730.9,175,,0.2,,5.4,,1772
CAN-1993,13.4,7.5,26.7,30.4,12792.8,187.7,,0.2,,5.3,,1769
CAN-1994,13.1,7.4,26.2,33.5,13058.7,196.9,48.6,0.2,25.5,5.4,,1778
CAN-1995,13.5,7.4,24.9,34.5,13295.4,202.7,,0.2,,5.5,93.9,1775
CAN-1996,13.4,7.4,23.6,35.6,13420.1,206.9,48,0.2,24.5,5.5,94.1,1790
CAN-1997,12.4,7.2,22.2,37.4,13708.2,221.8,,0.2,,5.3,94.1,1798
CAN-1998,12.3,7.3,21.3,38.3,14047,229,50.6,0.2,23.8,5.1,94.1,1794
CAN-1999,13.3,7.5,20.4,39.4,14402,240.6,,0.1,,4.9,94.1,1793
CAN-2000,11.6,7.6,19.3,40.1,14760.1,256.1,,0.2,,5,94.1,1787
CAN-2001,11.8,7.6,18,41.9,14932.3,276,48.2,0.1,22.4,5.2,94.1,1774
CAN-2002,11.6,7.7,17.3,42.9,15291.3,293.7,,0.2,,5.4,94.1,1755
CAN-2003,11.8,7.7,16.3,44.1,15660.8,302.8,49.4,0.2,18.7,5.3,94.1,1745
CAN-2004,11.2,7.8,15.7,44.5,15915,324.4,56.8,0.2,,5.4,94.1,1755
CAN-2005,11.3,8,14.8,46,16123.5,341.7,57.7,0.2,17.3,5.5,,1745
CAN-2006,11,8.2,14.5,46.9,16375,366.4,,0.2,,5.5,95.8,1744
CAN-2007,10.7,8.4,13.5,48.2,16719.1,387.1,49.1,0.2,18.2,5.3,,1744
CAN-2008,10.9,8.4,13,48.7,16959.1,399.2,60,0.2,17.5,4.6,93.6,1741
CAN-2009,11.2,8.4,12.5,49.3,16685.3,403.2,50,0.2,16.2,5,93.9,1712
CAN-2010,11.3,8.4,11.7,50.3,16907.3,427.7,50.6,0.2,16.3,5.3,94.1,1715
CAN-2011,10.9,8.2,11.4,51,17171.7,430.5,60.4,0.2,15.7,5.2,94.1,1713
CAN-2012,11,8.3,11,52.3,17362.9,437.7,50.9,0.2,16.1,5.4,94.1,1722
CAN-2013,11.2,8.2,10.5,53,17585.1,442.7,62,0.2,14.9,5.5,94.1,1716
CAN-2014,11.7,8,10,53.6,17677.2,455.5,52.5,0.1,14,5.7,94.1,1710
CAN-2015,12,8,9.6,55.2,17794,464.2,64.2,0.2,13.1,6.2,94.1,1712
CAN-2016,10.7,8.1,9.4,56.3,17911.6,521,53.1,0.1,12.5,6.2,94.1,1706
CAN-2017,11.1,8.2,8.9,56.7,18281.1,530.8,22.9,0.1,12,7.1,94.1,1695
CAN-2018,10.1,8.2,8.4,57.9,18568,544.4,23.6,0.1,11.3,7.1,94.1,1708
CAN-2019,10.5,8,8.1,59.4,18985.6,534,24.2,0.1,10.3,,94.1,1690
CHE-1990,22.4,12.9,,,,,25.4,,,3.5,,
CHE-1991,23.2,12.9,19.3,20.3,,,25.4,0.1,,3.7,,1718.1
CHE-1992,21.2,12.3,19.2,21,16685.3,,26.9,0.1,28.1,4.1,,1725.4
CHE-1993,20.8,12.1,,,16907.3,,28.1,0.1,12.4,4.3,93.9,1720.4
CHE-1994,21.9,11.8,17.8,21.4,17171.7,,28.8,0.1,11.5,4.6,94.1,1739.7
CHE-1995,20.7,11.4,17.8,21.1,17362.9,404.5,29.9,0.1,11.2,7.7,94.1,1720.3
CHE-1996,20.7,11.3,,,,417.4,31.3,0.1,11.2,8.3,94.1,1696.9
CHE-1997,19.2,11.2,16.4,22.2,,426.8,33.7,0.1,12.3,8.5,94.1,1687.5
CHE-1998,19.6,11.1,16.3,22.9,3833,440.7,35,0.1,14.3,8.8,94.1,1695.5
CHE-1999,18.3,11.1,16.1,23.6,3862,450.8,33.9,0.1,16.8,9,94.1,1717.4
CHE-2000,19.2,11.2,16.1,24.2,3878.8,479.6,34,0.1,,9.2,94.1,1712.7
CHE-2001,18.6,11.1,15.1,25.4,3938.2,496.2,35.3,0.1,13.4,9.5,94.1,1672.8
CHE-2002,19.7,10.8,15.1,25.4,3964.9,520.3,37.4,0.1,12.1,9.8,94.1,1651.3
CHE-2003,17.2,10.8,15.4,26.9,3963,514.9,39.2,0.1,11.3,10.1,,1664.5
CHE-2004,17.2,10.7,15,28.1,3959.2,540.3,38,,10.8,10.4,,1695
CHE-2005,17.2,10.1,14.8,28.8,3974.5,519.2,35.7,,10.4,10.4,,1690
CHE-2006,17.1,10.2,14.6,29.9,4051.4,543.6,33.9,0.1,10.2,10.1,94.2,1679.2
CHE-2007,17.5,10.4,14,31.3,4122,589.4,33.1,0.1,10.1,9.9,,1668.9
CHE-2008,16.7,10.2,13.2,33.7,4228.8,609,32,0.1,9.3,9.9,,1659.5
CHE-2009,13.8,10.1,13.1,35,4268,619,30.4,0.1,9.8,10.5,93.2,1650.8
CHE-2010,12.3,10,15,33.9,4207.5,618.9,29.4,0.1,28.2,10.4,,1611.2
CHE-2011,12.5,10,15.2,34,4297.8,629.9,29.5,0.1,25.9,10.5,,1608.3
CHE-2012,12.4,9.9,14.3,35.3,4351.1,640,28.7,0.1,,10.6,92.8,1592.6
CHE-2013,12.6,9.8,13.6,37.4,4392.4,664.5,28.4,0.1,,10.9,,1572.7
CHE-2014,11.9,9.5,12.8,38.4,4468.4,708.7,27.2,0.1,25.5,11,92.8,1564.5
CHE-2015,12.3,9.5,12.7,39.8,4538,740.3,26.4,0.1,,11.4,94.3,1576.6
CHE-2016,11.5,9.3,12.6,41.2,4603.9,796.5,25.3,0.1,24.5,11.7,92.8,1577
CHE-2017,11.6,9.2,12.2,42.6,4636.3,793.9,41.8,0.1,,11.8,92.8,1559.1
CHE-2018,11.1,9.1,11.6,43.7,4675.1,804.8,,0.1,23.8,11.7,92.8,1551.4
CHE-2019,11.1,9.3,11,44.4,4705.8,781.5,,0.1,,,92.8,1549.4
CHL-1990,7.2,8.6,15,23.6,4450,450.8,22.9,,,0.5,,2422
CHL-1991,7.3,8,14.8,24.2,4518,479.6,23.6,0.1,22.4,0.7,,2419
CHL-1992,6,7.8,14.6,25.4,4723.8,496.2,24.2,0.1,,0.8,,2415
CHL-1993,6.9,7.7,14,25.4,4992.3,520.3,25.4,0.1,18.7,0.9,87.9,2389
CHL-1994,7.1,7.7,13.2,26.9,5036.2,514.9,25.4,0.1,,1.1,88.4,2364
CHL-1995,8.1,8.3,13.1,28.1,5095.3,540.3,26.9,0.1,17.3,1.2,81.7,2338
CHL-1996,7.6,7.4,15,28.8,5182.1,519.2,28.1,0.1,,1.3,81.7,2313
CHL-1997,7.4,6.6,15.2,29.9,5281.3,543.6,28.8,0.1,18.2,1.3,81.7,2256
CHL-1998,8.3,7.3,14.3,31.3,5393.9,589.4,29.9,0.1,17.5,1.3,81.7,2299
CHL-1999,8.3,7.6,13.6,33.7,5315.5,609,31.3,0.1,16.2,1.5,81.7,2277
CHL-2000,11.3,6.2,24.9,35,5414.1,619,33.7,0.1,16.3,2.7,81.7,2263
CHL-2001,11.9,6.2,23.6,33.9,5468.1,618.9,35,0.1,15.7,2.8,81.7,2242
CHL-2002,11.6,5.5,22.2,34,5570.5,629.9,33.9,0.1,16.1,2.7,,2250
CHL-2003,11.9,6.5,21.3,35.3,5788.5,640,34,0.1,14.9,2.7,,2235
CHL-2004,11.9,6.8,20.4,37.4,5946.4,664.5,35.3,0.1,14,2.7,,2232
