LocationTime,LOCATION,TIME,Healthy_Spend_Val
FIN-1991,FIN,1991,95.77833333333335
FIN-1992,FIN,1992,101.347
FIN-1993,FIN,1993,109.56533333333334
FIN-1994,FIN,1994,111.40733333333333
FIN-1995,FIN,1995,139.39233333333334
FIN-1996,FIN,1996,146.88333333333333
FIN-1997,FIN,1997,150.89966666666666
FIN-1998,FIN,1998,152.07766666666666
FIN-1999,FIN,1999,164.73666666666665
FIN-2000,FIN,2000,171.1256666666667
FIN-2001,FIN,2001,177.04866666666666
FIN-2002,FIN,2002,191.50199999999998
FIN-2003,FIN,2003,195.0
FIN-2004,FIN,2004,206.83833333333337
FIN-2005,FIN,2005,213.07333333333335
FIN-2006,FIN,2006,216.66166666666666
FIN-2007,FIN,2007,236.75133333333335
FIN-2008,FIN,2008,252.79433333333336
FIN-2009,FIN,2009,254.092
FIN-2010,FIN,2010,270.13366666666667
FIN-2011,FIN,2011,276.67266666666666
FIN-2012,FIN,2012,283.27366666666666
FIN-2013,FIN,2013,297.16566666666665
FIN-2014,FIN,2014,297.91866666666664
FIN-2015,FIN,2015,315.312
FIN-2016,FIN,2016,333.85533333333336
FIN-2017,FIN,2017,339.93033333333335
FIN-2018,FIN,2018,341.0113333333333
FIN-2019,FIN,2019,331.375
FIN-2020,FIN,2020,329.16
FRA-1990,FRA,1990,125.46166666666669
FRA-1991,FRA,1991,135.36499999999998
FRA-1992,FRA,1992,141.33700000000002
FRA-1993,FRA,1993,150.049
FRA-1994,FRA,1994,158.68166666666667
FRA-1995,FRA,1995,154.0103333333333
FRA-1996,FRA,1996,159.62
FRA-1997,FRA,1997,163.58166666666668
FRA-1998,FRA,1998,170.41833333333332
FRA-1999,FRA,1999,178.5186666666667
FRA-2000,FRA,2000,196.91333333333333
FRA-2001,FRA,2001,209.82899999999998
FRA-2002,FRA,2002,226.4346666666667
FRA-2003,FRA,2003,223.98733333333334
FRA-2004,FRA,2004,232.014
FRA-2005,FRA,2005,239.782
FRA-2006,FRA,2006,269.86133333333333
FRA-2007,FRA,2007,283.29333333333335
FRA-2008,FRA,2008,300.90766666666667
FRA-2009,FRA,2009,312.54466666666667
FRA-2010,FRA,2010,328.91066666666666
FRA-2011,FRA,2011,341.7676666666667
FRA-2012,FRA,2012,351.57
FRA-2013,FRA,2013,280.2486666666667
FRA-2014,FRA,2014,281.40166666666664
FRA-2015,FRA,2015,278.8483333333333
FRA-2016,FRA,2016,287.3626666666667
FRA-2017,FRA,2017,289.5196666666667
FRA-2018,FRA,2018,289.274
FRA-2019,FRA,2019,289.42233333333337
FRA-2020,FRA,2020,284.49466666666666
GBR-1990,GBR,1990,46.45066666666667
GBR-1991,GBR,1991,51.836333333333336
GBR-1992,GBR,1992,55.864000000000004
GBR-1993,GBR,1993,57.279666666666664
GBR-1994,GBR,1994,63.08599999999999
GBR-1995,GBR,1995,63.73066666666667
GBR-1996,GBR,1996,67.66333333333334
GBR-1997,GBR,1997,134.46866666666668
GBR-1998,GBR,1998,138.50733333333332
GBR-1999,GBR,1999,143.11633333333333
GBR-2000,GBR,2000,159.399
GBR-2001,GBR,2001,162.26633333333334
GBR-2002,GBR,2002,165.762
GBR-2003,GBR,2003,187.10000000000002
GBR-2004,GBR,2004,188.66066666666666
GBR-2005,GBR,2005,180.09799999999998
GBR-2006,GBR,2006,192.92133333333334
GBR-2007,GBR,2007,194.85
GBR-2008,GBR,2008,210.53833333333333
GBR-2009,GBR,2009,222.36666666666665
GBR-2010,GBR,2010,231.49533333333332
GBR-2011,GBR,2011,235.533
GBR-2012,GBR,2012,246.92766666666668
GBR-2013,GBR,2013,253.89466666666667
GBR-2014,GBR,2014,259.439
GBR-2015,GBR,2015,264.407
GBR-2016,GBR,2016,269.07599999999996
GBR-2017,GBR,2017,283.6283333333334
GBR-2018,GBR,2018,296.7936666666667
GBR-2019,GBR,2019,309.32366666666667
GBR-2020,GBR,2020,293.40133333333335
GRC-1990,GRC,1990,134.52700000000002
GRC-1991,GRC,1991,137.6543333333333
GRC-1992,GRC,1992,146.93666666666667
GRC-1993,GRC,1993,163.99699999999999
GRC-1994,GRC,1994,202.34666666666666
GRC-1995,GRC,1995,204.1643333333333
GRC-1996,GRC,1996,205.2193333333333
GRC-1997,GRC,1997,214.65099999999998
GRC-1998,GRC,1998,223.62
GRC-1999,GRC,1999,225.70966666666664
GRC-2000,GRC,2000,195.15066666666667
GRC-2001,GRC,2001,221.8553333333333
GRC-2002,GRC,2002,271.43966666666665
GRC-2003,GRC,2003,288.59066666666666
GRC-2004,GRC,2004,304.65133333333335
GRC-2005,GRC,2005,300.55199999999996
GRC-2006,GRC,2006,308.582
GRC-2007,GRC,2007,309.65833333333336
GRC-2008,GRC,2008,320.56333333333333
GRC-2009,GRC,2009,300.33866666666665
GRC-2010,GRC,2010,281.35066666666665
GRC-2011,GRC,2011,272.74833333333333
GRC-2012,GRC,2012,253.61933333333332
GRC-2013,GRC,2013,271.59133333333335
GRC-2014,GRC,2014,290.56233333333336
GRC-2015,GRC,2015,297.2176666666667
GRC-2016,GRC,2016,302.6066666666667
GRC-2017,GRC,2017,308.74566666666664
GRC-2018,GRC,2018,328.29766666666666
GRC-2019,GRC,2019,314.2296666666667
GRC-2020,GRC,2020,328.918
HRV-2005,HRV,2005,54.657333333333334
HRV-2006,HRV,2006,60.922000000000004
HRV-2007,HRV,2007,66.62433333333333
HRV-2008,HRV,2008,83.65633333333334
HRV-2009,HRV,2009,82.32266666666666
HRV-2010,HRV,2010,81.01633333333334
HRV-2011,HRV,2011,109.07933333333334
HRV-2012,HRV,2012,103.96866666666665
HRV-2013,HRV,2013,74.84633333333333
HRV-2014,HRV,2014,88.15433333333334
HRV-2015,HRV,2015,94.33299999999998
HRV-2016,HRV,2016,103.83299999999998
HRV-2017,HRV,2017,108.769
HRV-2018,HRV,2018,119.31666666666668
