LocationTime,LOCATION,TIME,Work_Hour_Val
DNK-2008,DNK,2008,1430.05508558406
DNK-2009,DNK,2009,1417.02988459357
DNK-2010,DNK,2010,1422.30839756429
DNK-2011,DNK,2011,1436.98118299249
DNK-2012,DNK,2012,1423.3462832508
DNK-2013,DNK,2013,1425.63357544074
DNK-2014,DNK,2014,1413.80721530672
DNK-2015,DNK,2015,1407.14910367558
DNK-2016,DNK,2016,1412.04476904186
DNK-2017,DNK,2017,1404.20432783947
DNK-2018,DNK,2018,1381.28888987796
DNK-2019,DNK,2019,1371.49881061049
DNK-2020,DNK,2020,1342.32701888433
ESP-1990,ESP,1990,1762.9
ESP-1991,ESP,1991,1772.0
ESP-1992,ESP,1992,1763.9
ESP-1993,ESP,1993,1755.8
ESP-1994,ESP,1994,1754.8
ESP-1995,ESP,1995,1754.8
ESP-1996,ESP,1996,1749.7
ESP-1997,ESP,1997,1749.7
ESP-1998,ESP,1998,1753.8
ESP-1999,ESP,1999,1753.8
ESP-2000,ESP,2000,1752.8
ESP-2001,ESP,2001,1762.1
ESP-2002,ESP,2002,1763.6
ESP-2003,ESP,2003,1754.6
ESP-2004,ESP,2004,1739.9
ESP-2005,ESP,2005,1723.7
ESP-2006,ESP,2006,1713.7
ESP-2007,ESP,2007,1701.3
ESP-2008,ESP,2008,1710.1
ESP-2009,ESP,2009,1715.8
ESP-2010,ESP,2010,1705.8
ESP-2011,ESP,2011,1710.7
ESP-2012,ESP,2012,1696.7
ESP-2013,ESP,2013,1689.8
ESP-2014,ESP,2014,1690.6
ESP-2015,ESP,2015,1694.2
ESP-2016,ESP,2016,1701.5
ESP-2017,ESP,2017,1692.4
ESP-2018,ESP,2018,1697.62195152733
ESP-2019,ESP,2019,1682.93641908017
ESP-2020,ESP,2020,1569.67218571875
EST-2000,EST,2000,1884.0
EST-2001,EST,2001,1877.0
EST-2002,EST,2002,1879.0
EST-2003,EST,2003,1884.0
EST-2004,EST,2004,1892.0
EST-2005,EST,2005,1913.0
EST-2006,EST,2006,1906.0
EST-2007,EST,2007,1903.0
EST-2008,EST,2008,1874.0
EST-2009,EST,2009,1745.0
EST-2010,EST,2010,1785.0
EST-2011,EST,2011,1827.0
EST-2012,EST,2012,1796.0
EST-2013,EST,2013,1777.0
EST-2014,EST,2014,1771.0
EST-2015,EST,2015,1763.0
EST-2016,EST,2016,1767.0
EST-2017,EST,2017,1768.0
EST-2018,EST,2018,1707.19346662839
EST-2019,EST,2019,1694.39617724409
EST-2020,EST,2020,1637.15602832168
EU27-1995,EU27,1995,1701.45914440919
EU27-1996,EU27,1996,1702.84374245079
EU27-1997,EU27,1997,1700.13059930866
EU27-1998,EU27,1998,1696.88702180461
EU27-1999,EU27,1999,1690.88374408006
EU27-2000,EU27,2000,1677.45032416489
EU27-2001,EU27,2001,1667.40051213377
EU27-2002,EU27,2002,1656.12225704371
EU27-2003,EU27,2003,1650.11527692048
EU27-2004,EU27,2004,1657.40302482333
EU27-2005,EU27,2005,1652.58217253362
EU27-2006,EU27,2006,1650.92353037643
EU27-2007,EU27,2007,1652.63679742098
EU27-2008,EU27,2008,1650.88522276201
EU27-2009,EU27,2009,1627.46112274167
EU27-2010,EU27,2010,1631.74257033212
EU27-2011,EU27,2011,1631.59974294038
EU27-2012,EU27,2012,1614.73925271384
EU27-2013,EU27,2013,1605.3196445238
EU27-2014,EU27,2014,1604.72771527569
EU27-2015,EU27,2015,1604.00233962912
EU27-2016,EU27,2016,1607.9348858938
EU27-2017,EU27,2017,1599.09847066185
EU27-2018,EU27,2018,1597.67756876298
EU27-2019,EU27,2019,1593.67765719461
EU27-2020,EU27,2020,1511.50849439117
FIN-1990,FIN,1990,1671.0
FIN-1991,FIN,1991,1652.0
FIN-1992,FIN,1992,1652.0
FIN-1993,FIN,1993,1651.0
FIN-1994,FIN,1994,1671.0
FIN-1995,FIN,1995,1677.0
FIN-1996,FIN,1996,1675.0
FIN-1997,FIN,1997,1671.0
FIN-1998,FIN,1998,1661.0
FIN-1999,FIN,1999,1661.0
FIN-2000,FIN,2000,1650.0
FIN-2001,FIN,2001,1636.0
FIN-2002,FIN,2002,1628.0
FIN-2003,FIN,2003,1623.0
FIN-2004,FIN,2004,1624.0
FIN-2005,FIN,2005,1613.0
FIN-2006,FIN,2006,1608.0
FIN-2007,FIN,2007,1605.0
FIN-2008,FIN,2008,1601.0
FIN-2009,FIN,2009,1580.0
FIN-2010,FIN,2010,1585.0
FIN-2011,FIN,2011,1578.0
FIN-2012,FIN,2012,1568.0
FIN-2013,FIN,2013,1560.0
FIN-2014,FIN,2014,1558.0
FIN-2015,FIN,2015,1555.0
FIN-2016,FIN,2016,1555.0
FIN-2017,FIN,2017,1548.87961089044
FIN-2018,FIN,2018,1546.37323846403
FIN-2019,FIN,2019,1538.37118618515
FIN-2020,FIN,2020,1528.78994195106
FRA-1990,FRA,1990,1645.0
FRA-1991,FRA,1991,1638.0
FRA-1992,FRA,1992,1635.0
FRA-1993,FRA,1993,1627.0
FRA-1994,FRA,1994,1623.0
FRA-1995,FRA,1995,1601.0
FRA-1996,FRA,1996,1597.0
FRA-1997,FRA,1997,1596.0
FRA-1998,FRA,1998,1585.0
FRA-1999,FRA,1999,1578.0
FRA-2000,FRA,2000,1558.0
FRA-2001,FRA,2001,1538.0
FRA-2002,FRA,2002,1504.0
FRA-2003,FRA,2003,1507.0
FRA-2004,FRA,2004,1531.0
FRA-2005,FRA,2005,1532.0
FRA-2006,FRA,2006,1515.0
FRA-2007,FRA,2007,1537.0
FRA-2008,FRA,2008,1543.0
FRA-2009,FRA,2009,1531.0
FRA-2010,FRA,2010,1540.0
FRA-2011,FRA,2011,1546.0
FRA-2012,FRA,2012,1541.0
FRA-2013,FRA,2013,1526.0
FRA-2014,FRA,2014,1518.0
FRA-2015,FRA,2015,1519.48435617539
FRA-2016,FRA,2016,1522.06935829071
FRA-2017,FRA,2017,1507.60482048707
FRA-2018,FRA,2018,1514.41032743803
FRA-2019,FRA,2019,1518.15725565889
FRA-2020,FRA,2020,1407.25763480479
GBR-1990,GBR,1990,1617.59721728214
GBR-1991,GBR,1991,1614.8477602556
GBR-1992,GBR,1992,1582.77076161261
GBR-1993,GBR,1993,1577.27184755953
GBR-1994,GBR,1994,1586.43670431467
GBR-1995,GBR,1995,1586.43670431467
GBR-1996,GBR,1996,1586.43670431467
GBR-1997,GBR,1997,1586.43670431467
GBR-1998,GBR,1998,1581.8542759371
GBR-1999,GBR,1999,1572.68941918196
GBR-2000,GBR,2000,1558.02564837374
GBR-2001,GBR,2001,1562.60807675131
GBR-2002,GBR,2002,1543.36187756551
GBR-2003,GBR,2003,1534.19702081037
GBR-2004,GBR,2004,1533.82364916553
GBR-2005,GBR,2005,1544.03614916964
GBR-2006,GBR,2006,1536.39004010535
GBR-2007,GBR,2007,1541.16885827053
GBR-2008,GBR,2008,1524.92087650892
GBR-2009,GBR,2009,1516.3190038116
GBR-2010,GBR,2010,1507.23924929775
GBR-2011,GBR,2011,1515.36324017856
GBR-2012,GBR,2012,1531.05414767024
GBR-2013,GBR,2013,1533.51824163557
GBR-2014,GBR,2014,1542.21877782007
GBR-2015,GBR,2015,1525.12738239767
GBR-2016,GBR,2016,1541.27530613615
GBR-2017,GBR,2017,1535.67959843546
GBR-2018,GBR,2018,1536.17570701615
GBR-2019,GBR,2019,1537.04327841863
GBR-2020,GBR,2020,1363.76723547926
GRC-1990,GRC,1990,1975.50487037517
GRC-1991,GRC,1991,2004.89097929149
GRC-1992,GRC,1992,2031.43327121592
GRC-1993,GRC,1993,2051.33999015924
GRC-1994,GRC,1994,2018.16212525371
GRC-1995,GRC,1995,2000.82140381191
GRC-1996,GRC,1996,1999.58443029173
GRC-1997,GRC,1997,1998.20159304177
GRC-1998,GRC,1998,1998.66723643315
GRC-1999,GRC,1999,1995.26973676541
GRC-2000,GRC,2000,1997.91494450948
GRC-2001,GRC,2001,1991.74357581313
GRC-2002,GRC,2002,1984.24112102253
GRC-2003,GRC,2003,1982.59376767811
GRC-2004,GRC,2004,1974.131162914
GRC-2005,GRC,2005,2025.02379499972
GRC-2006,GRC,2006,2014.69144057771
GRC-2007,GRC,2007,2001.08873404859
GRC-2008,GRC,2008,1996.60481496315
GRC-2009,GRC,2009,1972.86052620357
GRC-2010,GRC,2010,1931.07982475913
GRC-2011,GRC,2011,1950.22069420752
GRC-2012,GRC,2012,1989.93137331474
GRC-2013,GRC,2013,1996.60648416968
GRC-2014,GRC,2014,1949.33400057264
GRC-2015,GRC,2015,1934.9868080525
GRC-2016,GRC,2016,1942.72654348523
GRC-2017,GRC,2017,1946.94095359204
GRC-2018,GRC,2018,1961.08118109017
GRC-2019,GRC,2019,1916.66005063335
GRC-2020,GRC,2020,1730.73763920219
HRV-1995,HRV,1995,1923.25535247438
HRV-1996,HRV,1996,1923.20182348665
HRV-1997,HRV,1997,1923.18884074111
HRV-1998,HRV,1998,1923.10468965028
HRV-1999,HRV,1999,1923.13490675259
HRV-2000,HRV,2000,1921.51382515696
