LocationTime,Suicide_Val_TOT,Alcohol_Val,Edu_Sec_Val,Edu_Try_Val,Emp_Val,Healthy_Spend_Val,Obesity_Val,Smoking_Val,Soc_Spend_Val,Work_Hour_Val
AUS-2004,10.7,10.5,35.9,30.8,83.3,308.8,39.2,17.8,2.7,1811.4
AUS-2006,10.6,10.8,33.3,33.0,84.4,328.0,38.0,17.2,2.9,1802.4
AUS-2007,10.7,10.8,31.8,33.7,84.8,338.4,35.7,16.9,5.2,1803.1
AUS-2008,11.1,10.8,30.1,36.1,83.1,357.4,33.9,16.5,4.4,1799.1
AUS-2009,10.8,10.7,29.0,36.9,84.3,360.9,33.1,15.8,4.3,1766.7
AUS-2010,11.0,10.4,26.8,37.6,84.0,387.0,32.0,15.5,4.3,1777.6
AUS-2011,10.9,10.2,25.9,38.3,84.3,402.0,30.4,15.1,4.6,1773.9
AUS-2012,11.5,10.0,23.6,41.3,84.4,428.8,29.4,14.9,4.8,1770.8
AUS-2013,11.5,9.9,24.3,39.5,83.5,490.0,29.5,14.6,5.4,1766.0
AUS-2014,12.6,9.7,22.9,41.9,82.9,504.6,28.7,13.9,6.0,1755.1
AUS-2015,13.2,9.8,21.0,42.9,83.1,511.7,28.4,14.1,6.2,1751.3
AUS-2016,12.2,9.5,20.1,43.7,83.5,535.4,27.2,12.4,6.4,1738.7
AUS-2017,13.6,9.5,19.0,45.4,84.0,535.1,26.4,11.5,6.6,1738.5
AUS-2018,13.0,10.2,18.1,45.7,84.1,537.9,25.3,11.2,3.7,1732.5
AUS-2019,13.3,10.5,17.1,47.1,84.6,489.9,34.3,11.2,3.7,1722.3
AUS-2020,12.4,9.8,16.2,49.3,81.5,545.1,34.3,12.3,3.7,1683.1
AUT-1990,24.7,14.0,18.9,28.0,84.0,135.8,34.3,14.3,2.2,1761.3
AUT-1991,23.6,14.0,19.6,29.9,84.3,144.4,42.0,16.8,2.2,1761.3
AUT-1992,23.4,13.6,15.4,25.4,84.0,152.0,34.3,20.4,2.2,1761.3
AUT-1993,22.4,13.5,13.8,24.8,84.3,162.0,61.8,13.4,2.2,1761.3
AUT-1994,23.2,12.5,16.3,29.9,84.4,170.4,59.4,12.1,2.1,1761.3
