LocationTime,LOCATION,INDICATOR,TIME,Soc_Spend_Val
AUT-2003,AUT,SOCEXP,2003,11950.259
AUT-2004,AUT,SOCEXP,2004,12083.068
AUT-2005,AUT,SOCEXP,2005,12094.734
AUT-2006,AUT,SOCEXP,2006,12310.184
AUT-2007,AUT,SOCEXP,2007,12440.156
AUT-2008,AUT,SOCEXP,2008,12797.534
AUT-2009,AUT,SOCEXP,2009,13225.518
AUT-2010,AUT,SOCEXP,2010,13484.027
AUT-2011,AUT,SOCEXP,2011,13421.883
AUT-2012,AUT,SOCEXP,2012,13636.438
AUT-2013,AUT,SOCEXP,2013,13761.584
AUT-2014,AUT,SOCEXP,2014,13851.207
AUT-2015,AUT,SOCEXP,2015,13855.019
AUT-2016,AUT,SOCEXP,2016,13931.845
AUT-2017,AUT,SOCEXP,2017,13991.987
BEL-1990,BEL,SOCEXP,1990,1.563
BEL-1991,BEL,SOCEXP,1991,1.546
BEL-1992,BEL,SOCEXP,1992,1.922
BEL-1993,BEL,SOCEXP,1993,2.348
BEL-1994,BEL,SOCEXP,1994,2.27
BEL-1995,BEL,SOCEXP,1995,2.083
BEL-1996,BEL,SOCEXP,1996,2.014
BEL-1997,BEL,SOCEXP,1997,1.935
BEL-1998,BEL,SOCEXP,1998,1.88
BEL-1999,BEL,SOCEXP,1999,1.845
BEL-2000,BEL,SOCEXP,2000,1.686
BEL-2001,BEL,SOCEXP,2001,1.899
BEL-2002,BEL,SOCEXP,2002,2.013
BEL-2003,BEL,SOCEXP,2003,2.487
BEL-2004,BEL,SOCEXP,2004,2.477
BEL-2005,BEL,SOCEXP,2005,2.406
BEL-2006,BEL,SOCEXP,2006,2.39
BEL-2007,BEL,SOCEXP,2007,2.136
BEL-2008,BEL,SOCEXP,2008,2.079
BEL-2009,BEL,SOCEXP,2009,2.221
BEL-2010,BEL,SOCEXP,2010,1.933
BEL-2011,BEL,SOCEXP,2011,2.027
BEL-2012,BEL,SOCEXP,2012,2.016
BEL-2013,BEL,SOCEXP,2013,1.858
BEL-2014,BEL,SOCEXP,2014,1.793
BEL-2015,BEL,SOCEXP,2015,1.886
BEL-2016,BEL,SOCEXP,2016,1.907
BEL-2017,BEL,SOCEXP,2017,1.869
BEL-1990,BEL,SOCEXP,1990,24.57
BEL-1991,BEL,SOCEXP,1991,25.335
BEL-1992,BEL,SOCEXP,1992,24.346
BEL-1993,BEL,SOCEXP,1993,25.4
BEL-1994,BEL,SOCEXP,1994,24.801
BEL-1995,BEL,SOCEXP,1995,25.304
BEL-1996,BEL,SOCEXP,1996,25.935
BEL-1997,BEL,SOCEXP,1997,24.929
BEL-1998,BEL,SOCEXP,1998,24.929
BEL-1999,BEL,SOCEXP,1999,24.73
BEL-2000,BEL,SOCEXP,2000,23.654
BEL-2001,BEL,SOCEXP,2001,24.121
BEL-2002,BEL,SOCEXP,2002,24.502
BEL-2003,BEL,SOCEXP,2003,25.65
BEL-2004,BEL,SOCEXP,2004,25.444
BEL-2005,BEL,SOCEXP,2005,25.311
BEL-2006,BEL,SOCEXP,2006,25.238
BEL-2007,BEL,SOCEXP,2007,24.984
BEL-2008,BEL,SOCEXP,2008,26.466
BEL-2009,BEL,SOCEXP,2009,28.761
BEL-2010,BEL,SOCEXP,2010,28.448
BEL-2011,BEL,SOCEXP,2011,28.893
BEL-2012,BEL,SOCEXP,2012,28.804
BEL-2013,BEL,SOCEXP,2013,29.198
BEL-2014,BEL,SOCEXP,2014,29.105
BEL-2015,BEL,SOCEXP,2015,29.517
BEL-2016,BEL,SOCEXP,2016,28.845
BEL-2017,BEL,SOCEXP,2017,28.718
BEL-2018,BEL,SOCEXP,2018,28.77
BEL-2019,BEL,SOCEXP,2019,28.902
BEL-1995,BEL,SOCEXP,1995,21.936
BEL-1997,BEL,SOCEXP,1997,21.43
BEL-1999,BEL,SOCEXP,1999,21.307
BEL-2001,BEL,SOCEXP,2001,19.738
BEL-2003,BEL,SOCEXP,2003,21.281
BEL-2005,BEL,SOCEXP,2005,21.071
BEL-2007,BEL,SOCEXP,2007,20.968
BEL-2009,BEL,SOCEXP,2009,24.642
BEL-2011,BEL,SOCEXP,2011,24.844
BEL-2013,BEL,SOCEXP,2013,25.234
BEL-2015,BEL,SOCEXP,2015,25.627
BEL-2017,BEL,SOCEXP,2017,25.046
BEL-1995,BEL,SOCEXP,1995,23.563
BEL-1997,BEL,SOCEXP,1997,22.923
BEL-1999,BEL,SOCEXP,1999,22.712
BEL-2001,BEL,SOCEXP,2001,21.195
BEL-2003,BEL,SOCEXP,2003,23.301
BEL-2005,BEL,SOCEXP,2005,23.033
BEL-2007,BEL,SOCEXP,2007,22.731
BEL-2009,BEL,SOCEXP,2009,26.469
BEL-2011,BEL,SOCEXP,2011,26.522
BEL-2013,BEL,SOCEXP,2013,26.78
BEL-2015,BEL,SOCEXP,2015,27.194
BEL-2017,BEL,SOCEXP,2017,26.595
BEL-1990,BEL,SOCEXP,1990,8152.31
BEL-1991,BEL,SOCEXP,1991,8527.694
BEL-1992,BEL,SOCEXP,1992,8286.208
BEL-1993,BEL,SOCEXP,1993,8528.693
BEL-1994,BEL,SOCEXP,1994,8570.798
BEL-1995,BEL,SOCEXP,1995,8934.611
BEL-1996,BEL,SOCEXP,1996,9260.21
BEL-1997,BEL,SOCEXP,1997,9216.831
BEL-1998,BEL,SOCEXP,1998,9377.167
BEL-1999,BEL,SOCEXP,1999,9610.42
BEL-2000,BEL,SOCEXP,2000,9510.458
BEL-2001,BEL,SOCEXP,2001,9770.68
BEL-2002,BEL,SOCEXP,2002,10049.672
BEL-2003,BEL,SOCEXP,2003,10585.438
BEL-2004,BEL,SOCEXP,2004,10828.741
BEL-2005,BEL,SOCEXP,2005,10961.024
BEL-2006,BEL,SOCEXP,2006,11134.942
BEL-2007,BEL,SOCEXP,2007,11344.214
BEL-2008,BEL,SOCEXP,2008,11976.39
BEL-2009,BEL,SOCEXP,2009,12650.094
BEL-2010,BEL,SOCEXP,2010,12753.099
BEL-2011,BEL,SOCEXP,2011,13002.645
BEL-2012,BEL,SOCEXP,2012,12977.034
BEL-2013,BEL,SOCEXP,2013,13153.542
BEL-2014,BEL,SOCEXP,2014,13258.903
BEL-2015,BEL,SOCEXP,2015,13640.871
BEL-2016,BEL,SOCEXP,2016,13459.599
BEL-2017,BEL,SOCEXP,2017,13602.448
CAN-1990,CAN,SOCEXP,1990,3.398
CAN-1991,CAN,SOCEXP,1991,3.742
CAN-1992,CAN,SOCEXP,1992,4.079
CAN-1993,CAN,SOCEXP,1993,4.28
CAN-1994,CAN,SOCEXP,1994,4.343
CAN-1995,CAN,SOCEXP,1995,4.435
CAN-1996,CAN,SOCEXP,1996,4.605
CAN-1997,CAN,SOCEXP,1997,4.751
CAN-1998,CAN,SOCEXP,1998,5.079
CAN-1999,CAN,SOCEXP,1999,4.929
CAN-2000,CAN,SOCEXP,2000,4.974
CAN-2001,CAN,SOCEXP,2001,5.248
CAN-2002,CAN,SOCEXP,2002,5.359
CAN-2003,CAN,SOCEXP,2003,5.308
CAN-2004,CAN,SOCEXP,2004,5.427
CAN-2005,CAN,SOCEXP,2005,5.455
CAN-2006,CAN,SOCEXP,2006,5.478
CAN-2007,CAN,SOCEXP,2007,5.305
CAN-2008,CAN,SOCEXP,2008,4.576
CAN-2009,CAN,SOCEXP,2009,5.023
CAN-2010,CAN,SOCEXP,2010,5.263
CAN-2011,CAN,SOCEXP,2011,5.223
CAN-2012,CAN,SOCEXP,2012,5.396
CAN-2013,CAN,SOCEXP,2013,5.544
CAN-2014,CAN,SOCEXP,2014,5.698
CAN-2015,CAN,SOCEXP,2015,6.179
CAN-2016,CAN,SOCEXP,2016,6.162
CAN-2017,CAN,SOCEXP,2017,7.07
CAN-2018,CAN,SOCEXP,2018,7.069
CAN-1990,CAN,SOCEXP,1990,17.483
CAN-1991,CAN,SOCEXP,1991,19.714
CAN-1992,CAN,SOCEXP,1992,20.358
CAN-1993,CAN,SOCEXP,1993,20.288
