LocationTime,LOCATION,TIME,Social_spt_val
CHL-2015,CHL,2015,80.5135309696198
CHL-2016,CHL,2016,80.5135309696198
CHL-2017,CHL,2017,80.5135309696198
CHL-2018,CHL,2018,80.5135309696198
CHL-2019,CHL,2019,80.5135309696198
CHL-2020,CHL,2020,80.5135309696198
COL-2010,COL,2010,84.5251023769379
COL-2011,COL,2011,84.5251023769379
COL-2012,COL,2012,84.5251023769379
COL-2013,COL,2013,84.5251023769379
COL-2014,COL,2014,84.5251023769379
COL-2015,COL,2015,84.5251023769379
COL-2016,COL,2016,84.5251023769379
COL-2017,COL,2017,84.5251023769379
COL-2018,COL,2018,84.5251023769379
COL-2019,COL,2019,84.5251023769379
COL-2020,COL,2020,84.5251023769379
CRI-2010,CRI,2010,84.6326947212219
CRI-2011,CRI,2011,84.6326947212219
CRI-2012,CRI,2012,84.6326947212219
CRI-2013,CRI,2013,84.6326947212219
CRI-2014,CRI,2014,84.6326947212219
CRI-2015,CRI,2015,84.6326947212219
CRI-2016,CRI,2016,84.6326947212219
CRI-2017,CRI,2017,84.6326947212219
CRI-2018,CRI,2018,84.6326947212219
CRI-2019,CRI,2019,84.6326947212219
CRI-2020,CRI,2020,84.6326947212219
EST-2011,EST,2011,87.9244208335876
EST-2012,EST,2012,87.9244208335876
EST-2013,EST,2013,87.9244208335876
EST-2014,EST,2014,87.9244208335876
EST-2015,EST,2015,87.9244208335876
EST-2016,EST,2016,87.9244208335876
EST-2017,EST,2017,87.9244208335876
EST-2018,EST,2018,87.9244208335876
EST-2019,EST,2019,87.9244208335876
EST-2020,EST,2020,87.9244208335876
ISR-2010,ISR,2010,88.0167901515961
ISR-2011,ISR,2011,88.0167901515961
ISR-2012,ISR,2012,88.0167901515961
ISR-2013,ISR,2013,88.0167901515961
ISR-2014,ISR,2014,88.0167901515961
ISR-2015,ISR,2015,88.0167901515961
ISR-2016,ISR,2016,88.0167901515961
ISR-2017,ISR,2017,88.0167901515961
ISR-2018,ISR,2018,88.0167901515961
ISR-2019,ISR,2019,88.0167901515961
ISR-2020,ISR,2020,88.0167901515961
LVA-2011,LVA,2011,82.6204419136047
LVA-2012,LVA,2012,82.6204419136047
LVA-2013,LVA,2013,82.6204419136047
LVA-2014,LVA,2014,82.6204419136047
LVA-2015,LVA,2015,82.6204419136047
LVA-2016,LVA,2016,82.6204419136047
LVA-2017,LVA,2017,82.6204419136047
LVA-2018,LVA,2018,82.6204419136047
LVA-2019,LVA,2019,82.6204419136047
LVA-2020,LVA,2020,82.6204419136047
LTU-2010,LTU,2010,81.7092061042786
LTU-2011,LTU,2011,81.7092061042786
LTU-2012,LTU,2012,81.7092061042786
LTU-2013,LTU,2013,81.7092061042786
LTU-2014,LTU,2014,81.7092061042786
LTU-2015,LTU,2015,81.7092061042786
LTU-2016,LTU,2016,81.7092061042786
LTU-2017,LTU,2017,81.7092061042786
LTU-2018,LTU,2018,81.7092061042786
LTU-2019,LTU,2019,81.7092061042786
LTU-2020,LTU,2020,81.7092061042786
RUS-2010,RUS,2010,85.7642292976379
RUS-2011,RUS,2011,85.7642292976379
RUS-2012,RUS,2012,85.7642292976379
RUS-2013,RUS,2013,85.7642292976379
RUS-2014,RUS,2014,85.7642292976379
RUS-2015,RUS,2015,85.7642292976379
RUS-2016,RUS,2016,85.7642292976379
RUS-2017,RUS,2017,85.7642292976379
RUS-2018,RUS,2018,85.7642292976379
RUS-2019,RUS,2019,85.7642292976379
RUS-2020,RUS,2020,85.7642292976379
SVN-2010,SVN,2010,89.0988528728485
SVN-2011,SVN,2011,89.0988528728485
SVN-2012,SVN,2012,89.0988528728485
SVN-2013,SVN,2013,89.0988528728485
SVN-2014,SVN,2014,89.0988528728485
SVN-2015,SVN,2015,89.0988528728485
SVN-2016,SVN,2016,89.0988528728485
SVN-2017,SVN,2017,89.0988528728485
SVN-2018,SVN,2018,89.0988528728485
SVN-2019,SVN,2019,89.0988528728485
SVN-2020,SVN,2020,89.0988528728485
ZAF-2010,ZAF,2010,84.7881972789764
ZAF-2011,ZAF,2011,84.7881972789764
ZAF-2012,ZAF,2012,84.7881972789764
ZAF-2013,ZAF,2013,84.7881972789764
ZAF-2014,ZAF,2014,84.7881972789764
ZAF-2015,ZAF,2015,84.7881972789764
ZAF-2016,ZAF,2016,84.7881972789764
ZAF-2017,ZAF,2017,84.7881972789764
ZAF-2018,ZAF,2018,84.7881972789764
ZAF-2019,ZAF,2019,84.7881972789764
