LocationTime,LOCATION,hSpend_val_COMPULSORY,hSpend_val_OOPEXP,hSpend_val_TOT,hSpend_val_VOLUNTARY
CZE-1997,CZE,290.477,34.536,437.519,34.536
CZE-1998,CZE,296.715,34.79933333333333,447.27099999999996,34.79933333333333
CZE-1999,CZE,317.31666666666666,35.224333333333334,478.8115,35.224333333333334
CZE-2000,CZE,338.77233333333334,38.46933333333333,515.8625,38.46933333333333
CZE-2001,CZE,377.11833333333334,44.91833333333333,583.0550000000001,44.91833333333333
CZE-2002,CZE,412.1496666666667,45.803333333333335,636.9285,45.803333333333335
CZE-2003,CZE,447.03333333333336,51.848000000000006,700.174,53.082666666666675
CZE-2004,CZE,464.74233333333336,56.03766666666667,735.205,58.72733333333334
CZE-2005,CZE,471.751,60.26133333333333,764.8679999999999,71.494
CZE-2006,CZE,479.443,64.688,783.175,76.00666666666666
CZE-2007,CZE,498.67533333333336,80.263,833.238,90.14966666666668
CZE-2008,CZE,528.001,103.74933333333333,914.6334999999999,115.08800000000001
CZE-2009,CZE,598.4406666666667,108.16466666666666,1028.012,120.234
CZE-2010,CZE,585.7846666666666,107.20533333333333,1004.4165,117.15966666666667
CZE-2011,CZE,600.8336666666667,107.59500000000001,1024.4134999999999,115.442
CZE-2012,CZE,613.4083333333333,112.008,1048.732,119.07933333333334
CZE-2013,CZE,712.4356666666667,115.76299999999999,1228.1255,139.64833333333334
CZE-2014,CZE,736.52,125.43333333333334,1286.103,154.21533333333332
CZE-2015,CZE,728.1759999999999,131.08599999999998,1276.0304999999998,155.84466666666668
CZE-2016,CZE,759.1336666666667,139.12433333333334,1339.038,166.892
CZE-2017,CZE,865.5136666666667,149.19266666666667,1488.4615,160.127
CZE-2018,CZE,915.5569999999999,153.02700000000002,1567.9975000000002,163.10833333333332
CZE-2019,CZE,957.4703333333332,158.767,1639.9145,169.13933333333333
CZE-2020,CZE,1144.0176666666669,150.37866666666665,1907.1915,160.77700000000002
DEU-1990,DEU,460.786,70.14933333333333,866.1815,150.00133333333335
DEU-1992,DEU,564.6776666666667,79.32966666666665,1014.151,144.761
DEU-1993,DEU,565.9613333333333,81.71266666666666,1024.65,150.477
DEU-1994,DEU,607.4830000000001,86.49066666666666,1098.9569999999999,158.48833333333334
DEU-1995,DEU,657.277,84.78533333333333,1179.338,162.28133333333332
DEU-1996,DEU,697.8423333333334,88.899,1245.021,165.505
DEU-1997,DEU,690.8363333333333,95.73633333333333,1252.959,177.803
DEU-1998,DEU,704.0969999999999,103.20633333333335,1287.866,187.81866666666667
DEU-1999,DEU,736.3159999999999,109.238,1353.8425,199.57900000000004
DEU-2000,DEU,782.3666666666668,121.83999999999999,1452.7105,219.44033333333334
DEU-2001,DEU,811.5496666666667,126.45200000000001,1509.6444999999999,228.20833333333334
DEU-2002,DEU,866.6866666666666,139.00733333333332,1624.977,249.96433333333331
DEU-2003,DEU,884.1970000000001,145.71666666666667,1669.888,262.39
DEU-2004,DEU,881.8639999999999,162.07500000000002,1700.8335000000002,285.358
DEU-2005,DEU,889.0676666666667,164.96033333333335,1720.1335,291.0163333333333
DEU-2006,DEU,918.482,176.072,1788.6205,307.265
DEU-2007,DEU,964.1930000000001,183.62333333333333,1880.4189999999999,322.75333333333333
DEU-2008,DEU,1017.0323333333332,189.33,1982.6935,338.097
DEU-2009,DEU,1185.9793333333334,195.61966666666663,2084.752,237.18866666666668
DEU-2010,DEU,1258.0776666666668,208.67733333333334,2217.0829999999996,253.311
DEU-2011,DEU,1295.811,215.91033333333334,2288.728,263.34133333333335
