LocationTime,LOCATION,TIME,employment_val_BUPPSRY_PC_25_64,employment_val_TRY_PC_25_64,employment_val_UPPSRY_NTRY_PC_25_64
DNK-2016,DNK,2016,61.461666,85.378372,79.909019
DNK-2017,DNK,2017,61.138855,85.923767,80.767326
DNK-2018,DNK,2018,61.091515,86.608482,81.561127
DNK-2019,DNK,2019,60.748222,87.609886,82.051392
DNK-2020,DNK,2020,60.465584,88.269753,80.746338
ESP-1991,ESP,1991,49.473621,78.922905,72.446632
ESP-1992,ESP,1992,48.402565,77.869705,68.895737
ESP-1994,ESP,1994,45.733646,74.195328,64.75489
ESP-1995,ESP,1995,46.294727,74.693459,65.146049
ESP-1997,ESP,1997,49.033569,75.660721,66.789864
ESP-1998,ESP,1998,50.42374,76.660889,67.611267
ESP-1999,ESP,1999,52.091923,78.043571,69.911438
ESP-2000,ESP,2000,53.808907,79.702477,71.992584
ESP-2001,ESP,2001,55.117779,80.588654,71.655319
ESP-2002,ESP,2002,56.092781,80.773567,71.902039
ESP-2003,ESP,2003,57.077961,81.488586,72.617111
ESP-2004,ESP,2004,57.570614,82.189438,73.381233
ESP-2005,ESP,2005,58.790493,82.742996,75.070641
ESP-2006,ESP,2006,59.995861,83.738258,76.308411
ESP-2007,ESP,2007,60.633377,84.703682,76.553085
ESP-2008,ESP,2008,59.148918,83.897774,75.456436
ESP-2009,ESP,2009,54.053894,81.41156,71.020126
ESP-2010,ESP,2010,53.04237,80.073509,69.325081
ESP-2011,ESP,2011,52.349545,79.242912,67.89875
ESP-2012,ESP,2012,49.271648,77.462303,66.336761
ESP-2013,ESP,2013,48.339825,76.3937,64.481842
ESP-2014,ESP,2014,49.384544,77.223129,65.893608
ESP-2015,ESP,2015,51.587471,78.534706,67.698692
ESP-2016,ESP,2016,53.882187,79.811272,69.235588
ESP-2017,ESP,2017,55.527878,80.939743,70.187393
ESP-2018,ESP,2018,57.405262,81.628616,70.932465
ESP-2019,ESP,2019,58.541592,81.930359,71.923203
ESP-2020,ESP,2020,56.477238,79.928398,68.895836
EST-1997,EST,1997,47.446205,82.90313,74.686195
EST-1998,EST,1998,47.671066,81.731743,73.835678
EST-1999,EST,1999,43.944023,80.856842,71.047562
EST-2000,EST,2000,39.802414,79.529953,68.715416
EST-2001,EST,2001,41.678741,80.241455,69.13546
EST-2002,EST,2002,40.552887,81.788887,70.491905
EST-2003,EST,2003,47.266415,80.226974,71.890823
EST-2004,EST,2004,51.586044,82.077957,70.74337
EST-2005,EST,2005,49.512119,84.110771,72.475014
EST-2006,EST,2006,55.081551,87.644783,77.78727
EST-2007,EST,2007,55.361004,87.263184,79.235893
EST-2008,EST,2008,57.425705,85.838882,79.473145
EST-2009,EST,2009,46.916954,82.738152,71.598534
EST-2010,EST,2010,45.019768,79.625122,68.764526
EST-2011,EST,2011,48.561352,79.897217,74.000694
EST-2012,EST,2012,50.252663,82.300453,74.336479
EST-2013,EST,2013,57.934174,83.006584,74.497719
EST-2014,EST,2014,60.264725,84.029152,75.218712
EST-2015,EST,2015,57.987846,85.720383,77.600029
EST-2016,EST,2016,61.366207,84.851707,76.856941
EST-2017,EST,2017,65.3769,85.679253,78.770027
EST-2018,EST,2018,65.051361,85.069229,79.915634
EST-2019,EST,2019,62.385929,86.615898,80.630501
EST-2020,EST,2020,62.542736,85.228409,79.383522
FIN-2000,FIN,2000,59.587605,84.385689,75.15316
FIN-2003,FIN,2003,57.911026,84.97921,74.374451
FIN-2004,FIN,2004,57.071178,84.240402,74.414146
FIN-2005,FIN,2005,57.927132,84.13678,75.172165
FIN-2006,FIN,2006,58.410847,85.02108,75.585205
FIN-2007,FIN,2007,58.633305,85.19986,76.199265
FIN-2008,FIN,2008,59.278332,85.616371,77.263542
FIN-2009,FIN,2009,56.823944,84.428238,74.795975
FIN-2010,FIN,2010,54.952732,84.10569,74.083595
FIN-2011,FIN,2011,55.548809,84.326378,74.740028
FIN-2012,FIN,2012,55.207375,84.362343,74.61618
FIN-2013,FIN,2013,54.131367,83.849091,73.617867
FIN-2014,FIN,2014,53.502769,83.476814,73.173897
FIN-2015,FIN,2015,53.353443,82.691025,72.808609
FIN-2016,FIN,2016,53.709198,83.292183,73.19838
FIN-2017,FIN,2017,52.727272,84.865746,74.074074
FIN-2018,FIN,2018,54.635761,86.709366,75.68013
FIN-2019,FIN,2019,54.945053,86.41304,76.588898
FIN-2020,FIN,2020,54.065041,86.791046,75.267929
FRA-1991,FRA,1991,57.790539,84.780327,78.320381
FRA-1992,FRA,1992,56.498531,83.850479,77.088379
FRA-1994,FRA,1994,55.409752,81.799568,75.060425
FRA-1995,FRA,1995,55.972149,82.043213,75.709312
FRA-1997,FRA,1997,56.292171,81.335442,75.048683
FRA-1998,FRA,1998,56.271149,81.578934,74.951813
FRA-1999,FRA,1999,56.376163,81.826332,75.086159
FRA-2000,FRA,2000,55.86079,83.199219,75.211029
FRA-2001,FRA,2001,57.710304,83.749779,76.543243
FRA-2002,FRA,2002,57.825375,83.337845,76.666557
FRA-2003,FRA,2003,58.901192,83.293671,76.327538
FRA-2004,FRA,2004,59.080761,82.947655,75.695786
FRA-2005,FRA,2005,58.609497,82.958748,75.694321
FRA-2006,FRA,2006,58.15543,83.028023,75.567871
FRA-2007,FRA,2007,57.776325,83.373955,75.668793
FRA-2008,FRA,2008,57.416531,84.568871,75.786949
FRA-2009,FRA,2009,56.15419,83.497665,74.769562
FRA-2010,FRA,2010,55.419167,83.601295,74.399307
FRA-2011,FRA,2011,55.692963,83.85379,73.725624
FRA-2012,FRA,2012,55.483387,84.367378,73.535088
FRA-2013,FRA,2013,54.333675,84.391151,73.329834
FRA-2014,FRA,2014,54.099674,83.842064,72.7491
FRA-2015,FRA,2015,52.213428,83.858223,72.580147
FRA-2016,FRA,2016,51.278957,84.971085,72.904305
FRA-2017,FRA,2017,52.730328,85.156898,73.024368
FRA-2018,FRA,2018,52.939545,84.914436,73.486595
FRA-2019,FRA,2019,52.534874,85.562065,73.19117
FRA-2020,FRA,2020,53.323368,84.995026,72.472282
G20-2012,G20,2012,57.448882,79.775799,70.32889
G20-2018,G20,2018,58.937456,81.330985,72.108698
G20-2019,G20,2019,59.1721,81.513364,72.060904
G20-2020,G20,2020,57.656443,80.131969,70.13555
GBR-1997,GBR,1997,64.703384,87.203308,79.218559
GBR-1998,GBR,1998,64.551895,87.075378,80.131256
GBR-1999,GBR,1999,64.977608,87.732735,80.507446
GBR-2000,GBR,2000,65.323746,87.755997,81.101631
GBR-2001,GBR,2001,65.527481,88.175331,80.969528
GBR-2002,GBR,2002,65.281273,87.619789,81.046165
GBR-2003,GBR,2003,65.990303,87.833679,81.48317
GBR-2004,GBR,2004,65.448097,87.675697,81.27282
GBR-2005,GBR,2005,65.487144,88.04351,81.541336
GBR-2006,GBR,2006,63.080437,87.540085,81.555374
GBR-2007,GBR,2007,63.27948,87.376877,82.311554
GBR-2008,GBR,2008,59.271851,84.997505,80.075142
GBR-2009,GBR,2009,56.909519,84.541405,78.278038
GBR-2010,GBR,2010,56.107616,84.20475,78.149933
GBR-2011,GBR,2011,55.940659,83.184135,78.200439
GBR-2012,GBR,2012,56.772728,84.065559,78.788223
GBR-2013,GBR,2013,57.407883,84.7882,78.741623
GBR-2014,GBR,2014,60.05061,84.583046,79.977501
GBR-2015,GBR,2015,60.144756,85.386436,79.996025
GBR-2016,GBR,2016,61.296593,85.069305,80.095856
GBR-2017,GBR,2017,62.649063,85.466637,81.025444
GBR-2018,GBR,2018,65.719254,86.119209,81.076607
GBR-2019,GBR,2019,65.395134,86.628654,81.382515
GBR-2020,GBR,2020,64.468765,86.339325,80.407974
GRC-1990,GRC,1990,57.222313,82.604195,63.353134
GRC-1991,GRC,1991,54.441059,81.304184,62.71814
GRC-1992,GRC,1992,55.486458,80.243263,62.721313
GRC-1993,GRC,1993,55.59988,79.955971,62.319134
GRC-1994,GRC,1994,56.142689,80.252785,62.40609
GRC-1995,GRC,1995,56.230247,80.327194,63.395378
GRC-1996,GRC,1996,56.709251,80.517113,63.955868
GRC-1997,GRC,1997,56.655075,80.222206,64.180321
GRC-1998,GRC,1998,56.285931,80.497856,65.684105
GRC-1999,GRC,1999,57.018864,80.669159,64.562759
GRC-2000,GRC,2000,57.541027,80.910439,64.586845
GRC-2001,GRC,2001,57.302723,80.332413,65.132828
GRC-2002,GRC,2002,58.409481,81.227951,65.38813
GRC-2003,GRC,2003,59.843746,81.581062,66.923561
GRC-2004,GRC,2004,57.986698,81.415321,68.190277
GRC-2005,GRC,2005,59.130093,81.794113,68.716469
GRC-2006,GRC,2006,59.47295,83.121628,69.702591
GRC-2007,GRC,2007,59.940395,82.625099,69.457176
GRC-2008,GRC,2008,60.230595,82.651955,69.799133
GRC-2009,GRC,2009,59.757038,82.224106,68.413803
GRC-2010,GRC,2010,58.08382,79.773254,66.384895
GRC-2011,GRC,2011,53.881973,74.814163,61.992165
GRC-2012,GRC,2012,48.422012,71.145699,57.122643
GRC-2013,GRC,2013,46.323322,69.079964,54.066143
GRC-2014,GRC,2014,46.932018,68.544128,54.498825
GRC-2015,GRC,2015,48.528072,68.744614,56.401764
GRC-2016,GRC,2016,48.495949,70.400108,58.112816
GRC-2017,GRC,2017,49.611893,71.834778,59.319614
GRC-2018,GRC,2018,50.366364,74.148109,60.870548
GRC-2019,GRC,2019,52.4118,75.974495,62.335983
GRC-2020,GRC,2020,51.754078,75.420647,62.153561
HUN-1997,HUN,1997,36.171474,81.422127,70.733498
HUN-1998,HUN,1998,36.184654,80.996964,70.863014
HUN-1999,HUN,1999,35.722759,82.076935,72.06044
